date,510300.SS,511010.SS,513500.SS,518880.SS
2026-04-08,4.602,140.387,2.29,10.113
2026-04-09,4.572,140.404,2.275,9.908
2026-04-10,4.642,140.406,2.294,9.972
2026-04-13,4.652,140.442,2.281,9.924
2026-04-14,4.712,140.468,2.313,10.011
2026-04-15,4.694,140.601,2.337,10.064
2026-04-16,4.746,140.687,2.365,10.097
2026-04-17,4.739,140.754,2.361,10.029
2026-04-20,4.765,140.739,2.36,10.036
2026-04-21,4.776,140.734,2.37,10.01
2026-04-22,4.811,140.837,2.373,10.004
2026-04-23,4.801,140.837,2.369,9.9
2026-04-24,4.782,140.899,2.366,9.826
2026-04-27,4.782,140.701,2.384,9.897
2026-04-28,4.77,140.82,2.407,9.732
2026-04-29,4.821,140.899,2.411,9.637
2026-04-30,4.824,140.873,2.419,9.678
2026-05-06,4.888,140.811,2.454,9.791
2026-05-07,4.912,140.82,2.482,9.909
2026-05-08,4.886,140.9,2.483,9.88
2026-05-11,4.966,140.911,2.492,9.774
2026-05-12,4.963,140.963,2.477,9.806
2026-05-13,5.017,140.999,2.488,9.804
2026-05-14,4.941,141.011,2.489,9.795
2026-05-15,4.878,141.074,2.48,9.554
2026-05-18,4.852,141.126,2.44,9.513
2026-05-19,4.869,141.247,2.44,9.515
2026-05-20,4.871,141.278,2.432,9.367
2026-05-21,4.808,141.191,2.452,9.45
2026-05-22,4.862,141.204,2.485,9.461
2026-05-25,4.937,141.176,2.546,9.512
2026-05-26,4.972,141.23,2.529,9.454
2026-05-27,4.932,141.302,2.541,9.345
2026-05-28,4.932,141.417,2.524,9.132
2026-05-29,4.923,141.499,2.557,9.397
2026-06-01,4.868,141.504,2.625,9.344
2026-06-02,4.936,141.48,2.611,9.41
2026-06-03,4.965,141.464,2.602,9.281
2026-06-04,4.926,141.504,2.566,9.29
2026-06-05,4.843,141.5,2.568,9.252
2026-06-08,4.739,141.409,2.515,8.953
2026-06-09,4.826,141.345,2.552,9.005
2026-06-10,4.784,141.278,2.515,8.736
2026-06-11,4.751,141.138,2.498,8.506
2026-06-12,4.818,141.163,2.515,8.659
2026-06-15,4.919,141.19,2.574,8.928
2026-06-16,4.91,141.309,2.586,8.949
2026-06-17,4.958,141.348,2.578,8.957
2026-06-18,4.984,141.431,2.564,8.908
2026-06-22,5.091,141.463,2.565,8.716
2026-06-23,4.942,141.372,2.505,8.537
2026-06-24,4.967,141.433,2.523,8.515
2026-06-25,5.048,140.636,2.518,8.287
2026-06-26,4.907,140.721,2.482,8.39
2026-06-29,4.959,140.845,2.478,8.449
2026-06-30,5.019,140.792,2.483,8.378
2026-07-01,4.998,140.637,2.491,8.271
2026-07-02,4.85,140.695,2.483,8.475
2026-07-03,4.876,140.695,2.503,8.672
2026-07-06,4.877,140.753,2.511,8.631
2026-07-07,4.826,140.748,2.528,8.597
2026-07-08,4.798,140.799,2.503,8.589
2026-07-09,4.916,140.771,2.515,8.544
2026-07-10,4.829,140.782,2.527,8.541
2026-07-13,4.744,140.775,2.522,8.419
2026-07-14,4.837,140.798,2.54,8.373
2026-07-15,4.838,140.819,2.564,8.369
2026-07-16,4.753,140.789,2.577,8.363
2026-07-17,4.589,140.812,2.503,8.311
