date,GLD,SPY,TLT,SHV
2025-12-31,396.30999755859375,680.123,86.1827,109.1797
2026-01-02,398.2799987792969,681.373,86.0527,109.1997
2026-01-05,408.760009765625,685.923,86.4827,109.2197
2026-01-06,413.1799926757813,690.013,86.3027,109.2197
2026-01-07,409.2300109863281,687.783,86.8127,109.2397
2026-01-08,411.489990234375,687.713,86.3727,109.2497
2026-01-09,414.4700012207031,692.273,86.9527,109.2797
2026-01-12,422.2300109863281,693.363,86.6927,109.2847
2026-01-13,421.6300048828125,691.973,86.8427,109.2897
2026-01-14,425.9400024414063,688.563,87.3527,109.2997
2026-01-15,423.3299865722656,690.443,87.3327,109.3097
2026-01-16,421.2900085449219,689.863,86.8227,109.3397
2026-01-20,437.2300109863281,675.783,85.6727,109.3497
2026-01-21,443.6000061035156,683.603,86.3327,109.3697
2026-01-22,451.7900085449219,687.183,86.7127,109.3697
2026-01-23,458.0,687.433,86.9527,109.3997
2026-01-26,464.7000122070313,690.933,87.3727,109.4097
2026-01-27,476.1000061035156,693.693,86.8227,109.4297
2026-01-28,494.55999755859375,693.623,86.6227,109.4297
2026-01-29,495.8999938964844,692.243,86.6427,109.4397
2026-01-30,444.9500122070313,690.173,86.1527,109.4697
2026-02-02,427.1300048828125,693.613,85.9046,109.4916
2026-02-03,454.2900085449219,687.733,86.1146,109.5016
2026-02-04,453.9700012207031,684.393,85.8946,109.5016
2026-02-05,441.8800048828125,675.823,86.8346,109.5316
2026-02-06,455.4599914550781,688.823,86.8946,109.5516
2026-02-09,467.0299987792969,692.153,86.8746,109.5716
2026-02-10,462.3999938964844,690.323,87.8846,109.5716
2026-02-11,467.6300048828125,690.163,87.4146,109.5816
2026-02-12,451.3900146484375,679.473,88.5846,109.5916
2026-02-13,462.6199951171875,679.953,89.0746,109.6416
2026-02-17,448.2000122070313,681.053,89.2246,109.6516
2026-02-18,458.2799987792969,684.493,88.8846,109.6516
2026-02-19,459.55999755859375,682.683,88.9746,109.6716
2026-02-20,468.6199951171875,687.633,88.7646,109.6916
2026-02-23,481.2799987792969,680.593,89.0946,109.7016
2026-02-24,474.6099853515625,685.553,89.2546,109.7116
2026-02-25,473.4200134277344,691.353,89.2646,109.7216
2026-02-26,477.4800109863281,687.503,89.6246,109.7316
2026-02-27,483.75,684.193,90.1746,109.7616
2026-03-02,490.0,684.583,89.2652,109.7761
2026-03-03,468.1400146484375,678.533,89.0852,109.7861
2026-03-04,471.7999877929688,683.333,88.8052,109.7861
2026-03-05,466.1300048828125,679.513,88.4452,109.8061
2026-03-06,473.510009765625,670.583,88.1152,109.8361
2026-03-09,472.5299987792969,676.473,88.8852,109.8461
2026-03-10,477.8599853515625,675.383,87.9352,109.8561
2026-03-11,476.239990234375,674.533,86.7952,109.8661
2026-03-12,466.8800048828125,664.263,86.6252,109.8661
2026-03-13,460.8399963378906,660.493,86.1952,109.9061
2026-03-16,460.4299926757813,667.233,86.8652,109.9161
2026-03-17,459.2699890136719,668.993,87.1052,109.9261
2026-03-18,444.739990234375,659.633,86.6102,109.9261
2026-03-19,426.4100036621094,658.003,87.1452,109.9261
2026-03-20,413.3800048828125,648.57,85.4852,109.9561
2026-03-23,404.0400085449219,655.38,86.0402,109.9761
2026-03-24,404.1300048828125,653.18,85.6652,109.9861
2026-03-25,416.2900085449219,656.82,86.4952,109.9961
2026-03-26,400.6400146484375,645.09,85.7652,109.9961
2026-03-27,414.7000122070313,634.09,85.2952,110.0361
2026-03-30,414.5799865722656,631.97,86.4352,110.0561
2026-03-31,430.2900085449219,650.34,86.3452,110.0661
2026-04-01,430.2900085449219,655.24,86.26,110.08
2026-04-02,430.2900085449219,655.83,86.79,110.12
2026-04-06,427.6499938964844,658.93,86.65,110.13
2026-04-07,431.80999755859375,659.22,86.64,110.14
2026-04-08,431.80999755859375,676.01,86.92,110.15
2026-04-09,431.80999755859375,679.91,86.7,110.17
