date,513500.SS,511010.SS,518880.SS,MONEY
2014-01-15,0.986,96.174,2.434,100.0
2014-01-16,0.991,96.172,2.437,100.00785849419846
2014-01-17,0.987,96.03,2.435,100.01571760595624
2014-01-20,0.982,95.979,2.459,100.02357733532186
2014-01-21,0.984,96.328,2.451,100.03143768234385
2014-01-22,0.979,96.62,2.432,100.03929864707075
2014-01-23,0.988,96.694,2.426,100.04716022955111
2014-01-24,0.99,96.626,2.46,100.05502242983349
2014-01-27,0.97,97.045,2.476,100.0628852479664
2014-01-28,0.964,97.001,2.463,100.07074868399843
2014-01-29,0.977,96.965,2.455,100.07861273797812
2014-01-30,0.967,97.0,2.461,100.08647740995404
2014-02-07,0.973,97.061,2.48,100.09434269997475
2014-02-10,0.97,97.07,2.501,100.10220860808882
2014-02-11,0.975,97.122,2.515,100.11007513434481
2014-02-12,0.987,97.123,2.521,100.11794227879132
2014-02-13,0.987,97.17,2.517,100.12581004147692
2014-02-14,0.997,97.31,2.552,100.1336784224502
2014-02-17,1.001,97.275,2.596,100.14154742175974
2014-02-18,1.0,97.32,2.57,100.14941703945414
2014-02-19,1.004,97.567,2.575,100.15728727558198
2014-02-20,1.0,97.5,2.566,100.16515813019187
2014-02-21,1.003,97.361,2.582,100.17302960333241
2014-02-24,1.005,97.525,2.599,100.18090169505221
2014-02-25,1.013,97.733,2.612,100.18877440539988
2014-02-26,1.016,97.733,2.651,100.19664773442405
2014-02-27,1.015,97.969,2.602,100.20452168217331
2014-02-28,1.024,97.933,2.621,100.21239624869631
2014-03-03,1.026,97.861,2.651,100.22027143404165
2014-03-04,1.022,97.5,2.643,100.22814723825798
2014-03-05,1.031,97.449,2.624,100.23602366139393
2014-03-06,1.033,97.523,2.623,100.24390070349813
2014-03-07,1.034,97.47,2.649,100.25177836461923
2014-03-10,1.031,97.466,2.61,100.25965664480587
2014-03-11,1.039,97.535,2.641,100.2675355441067
2014-03-12,1.029,97.542,2.668,100.27541506257039
2014-03-13,1.034,97.81,2.694,100.28329520024556
2014-03-14,1.018,97.851,2.692,100.2911759571809
2014-03-17,1.022,97.952,2.722,100.29905733342507
2014-03-18,1.033,97.764,2.686,100.30693932902673
2014-03-19,1.037,97.688,2.68,100.31482194403456
2014-03-20,1.03,97.638,2.647,100.32270517849723
2014-03-21,1.033,97.849,2.647,100.33058903246342
2014-03-24,1.033,97.857,2.64,100.33847350598182
2014-03-25,1.031,97.804,2.608,100.34635859910112
2014-03-26,1.036,97.799,2.614,100.35424431187
2014-03-27,1.029,97.774,2.58,100.36213064433717
2014-03-28,1.028,97.612,2.588,100.3700175965513
2014-03-31,1.033,97.559,2.573,100.37790516856113
2014-04-01,1.04,97.508,2.555,100.38579336041533
2014-04-02,1.048,97.422,2.561,100.39368217216264
2014-04-03,1.05,97.419,2.573,100.40157160385176
2014-04-04,1.049,97.322,2.564,100.40946165553142
2014-04-08,1.029,97.397,2.606,100.41735232725033
2014-04-09,1.03,97.489,2.61,100.42524361905721
2014-04-10,1.038,97.597,2.618,100.43313553100081
2014-04-11,1.014,97.854,2.62,100.44102806312985
2014-04-14,1.008,97.951,2.649,100.44892121549307
2014-04-15,1.018,98.276,2.61,100.45681498813921
2014-04-16,1.026,97.966,2.59,100.46470938111702
2014-04-17,1.033,98.529,2.586,100.47260439447524
2014-04-18,1.034,98.552,2.579,100.48050002826263
2014-04-21,1.034,98.682,2.565,100.48839628252793
2014-04-22,1.038,98.286,2.577,100.49629315731993
2014-04-23,1.042,98.351,2.575,100.50419065268737
2014-04-24,1.044,98.019,2.573,100.51208876867902
2014-04-25,1.043,98.309,2.59,100.51998750534366
2014-04-28,1.032,98.168,2.631,100.52788686273007
2014-04-29,1.038,98.285,2.603,100.53578684088701
2014-04-30,1.04,98.622,2.612,100.54368743986329
2014-05-05,1.041,98.756,2.624,100.55158865970768
2014-05-06,1.048,98.843,2.626,100.55949050046897
2014-05-07,1.038,98.7,2.625,100.56739296219595
2014-05-08,1.042,98.856,2.587,100.57529604493743
2014-05-09,1.041,99.212,2.588,100.58319974874222
2014-05-12,1.043,99.12,2.593,100.5911040736591
2014-05-13,1.051,99.087,2.595,100.5990090197369
2014-05-14,1.055,98.96,2.598,100.60691458702442
2014-05-15,1.052,99.045,2.61,100.6148207755705
2014-05-16,1.043,99.052,2.594,100.62272758542393
2014-05-19,1.045,98.988,2.596,100.63063501663356
2014-05-20,1.047,99.003,2.593,100.63854306924823
2014-05-21,1.041,98.95,2.594,100.64645174331675
2014-05-22,1.052,99.074,2.597,100.65436103888796
2014-05-23,1.05,99.144,2.597,100.6622709560107
2014-05-26,1.056,99.268,2.594,100.67018149473382
2014-05-27,1.056,99.547,2.589,100.67809265510617
2014-05-28,1.061,99.55,2.553,100.68600443717659
2014-05-29,1.062,99.719,2.526,100.69391684099395
2014-05-30,1.067,99.827,2.535,100.70182986660711
2014-06-03,1.071,99.99,2.517,100.70974351406493
2014-06-04,1.073,100.401,2.514,100.71765778341627
2014-06-05,1.075,99.791,2.51,100.72557267471001
2014-06-06,1.084,99.862,2.53,100.73348818799502
2014-06-09,1.086,99.897,2.522,100.74140432332018
