date,510300.SS,511010.SS,518880.SS,MONEY
2013-07-29,1.374,99.08,2.626,100.0
2013-07-30,1.387,99.195,2.646,100.00785849419846
2013-07-31,1.392,99.382,2.657,100.01571760595624
2013-08-01,1.451,99.481,2.643,100.02357733532186
2013-08-02,1.447,99.28,2.578,100.03143768234385
2013-08-05,1.48,99.28,2.63,100.03929864707075
2013-08-06,1.495,99.29,2.591,100.04716022955111
2013-08-07,1.479,98.946,2.574,100.05502242983349
2013-08-08,1.48,98.79,2.586,100.0628852479664
2013-08-09,1.49,98.761,2.616,100.07074868399843
2013-08-12,1.56,98.64,2.659,100.07861273797812
2013-08-13,1.56,98.47,2.675,100.08647740995404
2013-08-14,1.555,98.201,2.64,100.09434269997475
2013-08-15,1.527,98.232,2.68,100.10220860808882
2013-08-16,1.51,98.437,2.712,100.11007513434481
2013-08-19,1.53,98.004,2.737,100.11794227879132
2013-08-20,1.513,98.047,2.705,100.12581004147692
2013-08-21,1.513,98.081,2.724,100.1336784224502
2013-08-22,1.505,98.002,2.714,100.14154742175974
2013-08-23,1.49,98.258,2.733,100.14941703945414
2013-08-26,1.542,98.303,2.772,100.15728727558198
2013-08-27,1.542,98.306,2.779,100.16515813019187
2013-08-28,1.531,97.966,2.827,100.17302960333241
2013-08-29,1.524,98.015,2.796,100.18090169505221
2013-08-30,1.52,98.137,2.787,100.18877440539988
2013-09-02,1.522,98.124,2.767,100.19664773442405
2013-09-03,1.558,98.073,2.762,100.20452168217331
2013-09-04,1.557,98.014,2.787,100.21239624869631
2013-09-05,1.547,97.957,2.751,100.22027143404165
2013-09-06,1.561,97.905,2.725,100.22814723825798
2013-09-09,1.65,97.824,2.756,100.23602366139393
2013-09-10,1.683,97.737,2.742,100.24390070349813
2013-09-11,1.694,97.402,2.722,100.25177836461923
2013-09-12,1.719,97.351,2.682,100.25965664480587
2013-09-13,1.7,97.411,2.622,100.2675355441067
2013-09-16,1.687,97.708,2.631,100.27541506257039
2013-09-17,1.637,97.759,2.609,100.28329520024556
2013-09-18,1.64,97.907,2.589,100.2911759571809
2013-09-23,1.675,97.948,2.629,100.29905733342507
2013-09-24,1.651,97.788,2.622,100.30693932902673
2013-09-25,1.636,97.887,2.629,100.31482194403456
2013-09-26,1.595,98.129,2.632,100.32270517849723
2013-09-27,1.604,98.091,2.622,100.33058903246342
2013-09-30,1.62,98.138,2.649,100.33847350598182
2013-10-08,1.655,98.186,2.63,100.34635859910112
2013-10-09,1.658,98.259,2.615,100.35424431187
2013-10-10,1.636,98.201,2.595,100.36213064433717
2013-10-11,1.676,98.187,2.569,100.3700175965513
2013-10-14,1.677,98.005,2.543,100.37790516856113
2013-10-15,1.674,97.991,2.533,100.38579336041533
2013-10-16,1.63,98.069,2.549,100.39368217216264
2013-10-17,1.617,97.873,2.531,100.40157160385176
2013-10-18,1.629,97.884,2.605,100.40946165553142
2013-10-21,1.682,97.854,2.608,100.41735232725033
2013-10-22,1.654,97.809,2.595,100.42524361905721
2013-10-23,1.627,97.85,2.624,100.43313553100081
2013-10-24,1.607,97.687,2.624,100.44102806312985
2013-10-25,1.568,97.592,2.619,100.44892121549307
2013-10-28,1.571,97.577,2.626,100.45681498813921
2013-10-29,1.574,97.489,2.639,100.46470938111702
2013-10-30,1.608,97.438,2.631,100.47260439447524
2013-10-31,1.584,97.737,2.613,100.48050002826263
2013-11-01,1.594,97.817,2.602,100.48839628252793
2013-11-04,1.587,97.702,2.584,100.49629315731993
2013-11-05,1.587,97.575,2.582,100.50419065268737
2013-11-06,1.559,97.298,2.578,100.51208876867902
2013-11-07,1.549,96.819,2.589,100.51998750534366
2013-11-08,1.513,96.436,2.573,100.52788686273007
2013-11-11,1.516,96.0,2.529,100.53578684088701
2013-11-12,1.54,96.213,2.517,100.54368743986329
2013-11-13,1.495,95.791,2.501,100.55158865970768
2013-11-14,1.502,96.156,2.516,100.55949050046897
2013-11-15,1.551,95.784,2.526,100.56739296219595
2013-11-18,1.63,95.614,2.527,100.57529604493743
2013-11-19,1.619,95.9,2.501,100.58319974874222
2013-11-20,1.63,95.98,2.508,100.5911040736591
2013-11-21,1.618,96.17,2.463,100.5990090197369
2013-11-22,1.604,96.523,2.458,100.60691458702442
2013-11-25,1.591,96.442,2.437,100.6148207755705
2013-11-26,1.59,96.4,2.465,100.62272758542393
2013-11-27,1.618,96.611,2.453,100.63063501663356
2013-11-28,1.644,96.614,2.44,100.63854306924823
2013-11-29,1.646,96.617,2.443,100.64645174331675
2013-12-02,1.623,95.93,2.45,100.65436103888796
2013-12-03,1.645,96.286,2.411,100.6622709560107
2013-12-04,1.677,96.378,2.408,100.67018149473382
2013-12-05,1.677,96.471,2.429,100.67809265510617
2013-12-06,1.66,96.424,2.418,100.68600443717659
2013-12-09,1.659,96.208,2.425,100.69391684099395
2013-12-10,1.658,95.971,2.445,100.70182986660711
2013-12-11,1.619,95.965,2.462,100.70974351406493
2013-12-12,1.614,96.215,2.45,100.71765778341627
2013-12-13,1.613,96.247,2.41,100.72557267471001
2013-12-16,1.573,96.151,2.411,100.73348818799502
2013-12-17,1.558,96.107,2.438,100.74140432332018
2013-12-18,1.56,96.024,2.419,100.74932108073438
2013-12-19,1.537,95.876,2.4,100.7572384602865
2013-12-20,1.486,95.9,2.342,100.76515646202543
2013-12-23,1.486,96.017,2.366,100.77307508600008
2013-12-24,1.489,95.993,2.366,100.78099433225933
2013-12-25,1.501,96.089,2.376,100.78891420085208
2013-12-26,1.469,96.147,2.377,100.79683469182724
2013-12-27,1.5,96.043,2.401,100.80475580523374
2013-12-30,1.502,96.053,2.377,100.81267754112046
2013-12-31,1.529,96.278,2.376,100.82059989953635
2014-01-02,1.521,96.106,2.403,100.82852288053031
2014-01-03,1.495,95.851,2.424,100.83644648415128
2014-01-06,1.439,95.663,2.435,100.84437071044817
2014-01-07,1.44,95.833,2.442,100.85229555946994
2014-01-08,1.438,96.096,2.411,100.8602210312655
2014-01-09,1.424,96.001,2.412,100.8681471258838
2014-01-10,1.408,96.067,2.428,100.87607384337377
2014-01-13,1.392,96.18,2.448,100.88400118378439
2014-01-14,1.407,96.099,2.455,100.8919291471646
2014-01-15,1.407,96.174,2.434,100.89985773356335
2014-01-16,1.408,96.172,2.437,100.9077869430296
2014-01-17,1.376,96.03,2.435,100.91571677561232
2014-01-20,1.365,95.979,2.459,100.92364723136048
2014-01-21,1.383,96.328,2.451,100.93157831032303
2014-01-22,1.443,96.62,2.432,100.93951001254896
2014-01-23,1.431,96.694,2.426,100.94744233808726
2014-01-24,1.443,96.626,2.46,100.9553752869869
2014-01-27,1.414,97.045,2.476,100.96330885929686
2014-01-28,1.416,97.001,2.463,100.97124305506614
2014-01-29,1.423,96.965,2.455,100.97917787434373
2014-01-30,1.392,97.0,2.461,100.98711331717864
2014-02-07,1.406,97.061,2.48,100.99504938361987
2014-02-10,1.47,97.07,2.501,101.00298607371641
2014-02-11,1.481,97.122,2.515,101.0109233875173
2014-02-12,1.485,97.123,2.521,101.01886132507151
2014-02-13,1.479,97.17,2.517,101.0267998864281
2014-02-14,1.487,97.31,2.552,101.03473907163607
2014-02-17,1.503,97.275,2.596,101.04267888074445
2014-02-18,1.476,97.32,2.57,101.05061931380226
2014-02-19,1.506,97.567,2.575,101.05856037085854
2014-02-20,1.486,97.5,2.566,101.06650205196235
