date,adj_close
2012-05-28,1.724
2012-05-29,1.764
2012-05-30,1.756
2012-05-31,1.75
2012-06-01,1.75
2012-06-04,1.678
2012-06-05,1.681
2012-06-06,1.679
2012-06-07,1.663
2012-06-08,1.654
2012-06-11,1.684
2012-06-12,1.668
2012-06-13,1.705
2012-06-14,1.694
2012-06-15,1.704
2012-06-18,1.712
2012-06-19,1.693
2012-06-20,1.69
2012-06-21,1.65
2012-06-25,1.6
2012-06-26,1.6
2012-06-27,1.591
2012-06-28,1.577
2012-06-29,1.605
2012-07-02,1.605
2012-07-03,1.609
2012-07-04,1.609
2012-07-05,1.581
2012-07-06,1.621
2012-07-09,1.571
2012-07-10,1.561
2012-07-11,1.572
2012-07-12,1.594
2012-07-13,1.598
2012-07-16,1.558
2012-07-17,1.563
2012-07-18,1.563
2012-07-19,1.571
2012-07-20,1.553
2012-07-23,1.523
2012-07-24,1.528
2012-07-25,1.513
2012-07-26,1.502
2012-07-27,1.505
2012-07-30,1.497
2012-07-31,1.491
2012-08-01,1.509
2012-08-02,1.491
2012-08-03,1.505
2012-08-06,1.536
2012-08-07,1.539
2012-08-08,1.541
2012-08-09,1.565
2012-08-10,1.558
2012-08-13,1.512
2012-08-14,1.508
2012-08-15,1.486
2012-08-16,1.479
2012-08-17,1.469
2012-08-20,1.456
2012-08-21,1.465
2012-08-22,1.448
2012-08-23,1.459
2012-08-24,1.436
2012-08-27,1.388
2012-08-28,1.388
2012-08-29,1.373
2012-08-30,1.363
2012-08-31,1.363
2012-09-03,1.377
2012-09-04,1.353
2012-09-05,1.352
2012-09-06,1.374
2012-09-07,1.477
2012-09-10,1.485
2012-09-11,1.467
2012-09-12,1.479
2012-09-13,1.456
2012-09-14,1.472
2012-09-17,1.417
2012-09-18,1.389
2012-09-19,1.398
2012-09-20,1.349
2012-09-21,1.348
2012-09-24,1.368
2012-09-25,1.365
2012-09-26,1.341
2012-09-27,1.405
2012-09-28,1.458
2012-10-08,1.423
2012-10-09,1.476
2012-10-10,1.476
2012-10-11,1.46
2012-10-12,1.458
2012-10-15,1.45
2012-10-16,1.451
2012-10-17,1.46
2012-10-18,1.489
2012-10-19,1.489
2012-10-22,1.498
2012-10-23,1.471
2012-10-24,1.467
2012-10-25,1.448
2012-10-26,1.396
2012-10-29,1.385
2012-10-30,1.39
2012-10-31,1.406
2012-11-01,1.454
2012-11-02,1.459
2012-11-05,1.453
2012-11-06,1.444
2012-11-07,1.442
2012-11-08,1.4
2012-11-09,1.394
2012-11-12,1.402
2012-11-13,1.367
2012-11-14,1.373
2012-11-15,1.346
2012-11-16,1.325
2012-11-19,1.325
2012-11-20,1.319
2012-11-21,1.346
2012-11-22,1.333
2012-11-23,1.345
2012-11-26,1.331
2012-11-27,1.307
2012-11-28,1.283
2012-11-29,1.275
2012-11-30,1.285
2012-12-03,1.265
2012-12-04,1.282
2012-12-05,1.358
2012-12-06,1.355
2012-12-07,1.4
2012-12-10,1.421
2012-12-11,1.414
2012-12-12,1.419
2012-12-13,1.401
2012-12-14,1.516
2012-12-17,1.523
2012-12-18,1.519
2012-12-19,1.525
2012-12-20,1.541
2012-12-21,1.531
2012-12-24,1.533
2012-12-25,1.599
2012-12-26,1.606
2012-12-27,1.601
2012-12-28,1.637
2012-12-31,1.677
2013-01-04,1.683
2013-01-07,1.687
2013-01-08,1.676
2013-01-09,1.674
2013-01-10,1.68
2013-01-11,1.642
2013-01-14,1.73
2013-01-15,1.745
2013-01-16,1.726
2013-01-17,1.71
2013-01-18,1.748
2013-01-21,1.757
2013-01-22,1.753
2013-01-23,1.758
2013-01-24,1.741
2013-01-25,1.729
2013-01-28,1.799
2013-01-29,1.819
2013-01-30,1.834
2013-01-31,1.841
2013-02-01,1.893
2013-02-04,1.898
2013-02-05,1.918
2013-02-06,1.926
2013-02-07,1.913
2013-02-08,1.922
2013-02-18,1.881
2013-02-19,1.837
2013-02-20,1.849
2013-02-21,1.753
2013-02-22,1.745
2013-02-25,1.749
2013-02-26,1.711
2013-02-27,1.735
2013-02-28,1.822
2013-03-01,1.819
2013-03-04,1.693
2013-03-05,1.766
2013-03-06,1.794
2013-03-07,1.762
2013-03-08,1.758
2013-03-11,1.74
2013-03-12,1.703
2013-03-13,1.675
2013-03-14,1.68
2013-03-15,1.682
2013-03-18,1.655
2013-03-19,1.677
2013-03-20,1.754
2013-03-21,1.761
2013-03-22,1.768
2013-03-25,1.764
2013-03-26,1.721
2013-03-27,1.727
2013-03-28,1.647
2013-03-29,1.64
2013-04-01,1.636
2013-04-02,1.64
2013-04-03,1.635
2013-04-08,1.623
2013-04-09,1.638
2013-04-10,1.638
2013-04-11,1.627
2013-04-12,1.619
2013-04-15,1.594
2013-04-16,1.609
2013-04-17,1.615
2013-04-18,1.62
2013-04-19,1.69
2013-04-22,1.682
2013-04-23,1.605
2013-04-24,1.647
2013-04-25,1.621
2013-04-26,1.598
2013-05-02,1.6
2013-05-03,1.644
2013-05-06,1.673
