date,adj_close
2008-06-26,25.5308
2008-06-27,25.4508
2008-06-30,25.4908
2008-07-01,25.0508
2008-07-02,24.3308
2008-07-03,24.4608
2008-07-07,24.3608
2008-07-08,24.4508
2008-07-09,23.8908
2008-07-10,23.8108
2008-07-11,23.6008
2008-07-14,23.4408
2008-07-15,22.7108
2008-07-16,23.6708
2008-07-17,24.2808
2008-07-18,24.2308
2008-07-21,24.3808
2008-07-22,24.6508
2008-07-23,25.0308
2008-07-24,23.9508
2008-07-25,24.1608
2008-07-28,23.3908
2008-07-29,23.8508
2008-07-30,24.6508
2008-07-31,24.1608
2008-08-01,23.8808
2008-08-04,23.1808
2008-08-05,24.3408
2008-08-06,24.6608
2008-08-07,23.5508
2008-08-08,24.1808
2008-08-11,24.4708
2008-08-12,23.8008
2008-08-13,23.2708
2008-08-14,23.4808
2008-08-15,23.4408
2008-08-18,22.6508
2008-08-19,22.2508
2008-08-20,22.6708
2008-08-21,23.0308
2008-08-22,23.2808
2008-08-25,22.4108
2008-08-26,22.6508
2008-08-27,22.7108
2008-08-28,23.7008
2008-08-29,23.2708
2008-09-02,21.9508
2008-09-03,22.1108
2008-09-04,20.4108
2008-09-05,20.1208
2008-09-08,21.3708
2008-09-09,20.2408
2008-09-10,20.6008
2008-09-11,20.5708
2008-09-12,21.0708
2008-09-15,19.2208
2008-09-16,19.9408
2008-09-17,17.5608
2008-09-18,19.7508
2008-09-19,22.3608
2008-09-22,20.6808
2008-09-23,20.9708
2008-09-24,19.5508
2008-09-25,20.7908
2008-09-26,21.2208
2008-09-29,18.3508
2008-09-30,18.9608
2008-10-01,18.3308
2008-10-02,16.0508
2008-10-03,15.7008
2008-10-06,13.8008
2008-10-07,12.0608
2008-10-08,11.5008
2008-10-09,9.8008
2008-10-10,8.7308
2008-10-13,13.1408
2008-10-14,13.9308
2008-10-15,9.3208
2008-10-16,10.1108
2008-10-17,9.7808
2008-10-20,12.1508
2008-10-21,9.9108
2008-10-22,7.4208
2008-10-23,7.3508
2008-10-24,7.1208
2008-10-27,5.3808
2008-10-28,7.1508
2008-10-29,9.4508
2008-10-30,9.7408
2008-10-31,9.7408
